Model Year,Mfr Name,Division,Carline,Eng Displ,# Cyl,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,Annual Fuel1 Cost - Conventional Fuel,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify.,Carline Class Desc
2015,BMW,Mini,Mini Cooper S Paceman ALL4,1.6,4,23,30,26,Gasoline (Premium Unleaded Recommended),2200,2200,Compact Cars
2015,BMW,Mini,Mini Cooper S Paceman ALL4,1.6,4,25,31,27,Gasoline (Premium Unleaded Recommended),2100,2100,Compact Cars
2015,BMW,Mini,Mini JCW Countryman ALL4,1.6,4,23,30,26,Gasoline (Premium Unleaded Recommended),2200,2200,Compact Cars
2015,BMW,Mini,Mini JCW Countryman ALL4,1.6,4,25,31,27,Gasoline (Premium Unleaded Recommended),2100,2100,Compact Cars
2015,BMW,Mini,Mini JCW Paceman ALL4,1.6,4,23,30,26,Gasoline (Premium Unleaded Recommended),2200,2200,Compact Cars
2015,BMW,Mini,Mini JCW Paceman ALL4,1.6,4,25,31,27,Gasoline (Premium Unleaded Recommended),2100,2100,Compact Cars
2015,Mitsubishi Motors Co,Mitsubishi Motors Corporation,LANCER,2,4,18,25,20,Gasoline (Premium Unleaded Required),2850,2850,Compact Cars
2015,Mitsubishi Motors Co,Mitsubishi Motors Corporation,LANCER,2,4,26,34,29,Gasoline (Regular Unleaded Recommended),1800,1800,Compact Cars
2015,Mitsubishi Motors Co,Mitsubishi Motors Corporation,LANCER,2,4,25,34,28,Gasoline (Regular Unleaded Recommended),1900,1900,Compact Cars
2015,Mitsubishi Motors Co,Mitsubishi Motors Corporation,LANCER,2.4,4,23,30,26,Gasoline (Regular Unleaded Recommended),2000,2000,Compact Cars
2015,Mitsubishi Motors Co,Mitsubishi Motors Corporation,LANCER,2.4,4,22,31,26,Gasoline (Regular Unleaded Recommended),2000,2000,Compact Cars
2015,Mitsubishi Motors Co,Mitsubishi Motors Corporation,LANCER AWD,2.4,4,22,29,25,Gasoline (Regular Unleaded Recommended),2100,2100,Compact Cars
2015,Mitsubishi Motors Co,Mitsubishi Motors Corporation,LANCER EVOLUTION,2,4,17,22,19,Gasoline (Premium Unleaded Required),3000,3000,Compact Cars
2015,Mitsubishi Motors Co,Mitsubishi Motors Corporation,LANCER EVOLUTION,2,4,17,23,19,Gasoline (Premium Unleaded Required),3000,3000,Compact Cars
2015,Mitsubishi Motors Co,Mitsubishi Motors Corporation,MIRAGE,1.2,3,37,44,40,Gasoline (Regular Unleaded Recommended),1300,1300,Compact Cars
2015,Mitsubishi Motors Co,Mitsubishi Motors Corporation,MIRAGE,1.2,3,34,42,37,Gasoline (Regular Unleaded Recommended),1400,1400,Compact Cars
2015,Nissan,NISSAN,VERSA,1.6,4,26,35,30,Gasoline (Regular Unleaded Recommended),1750,1750,Compact Cars
2015,Nissan,NISSAN,VERSA,1.6,4,31,40,35,Gasoline (Regular Unleaded Recommended),1500,1500,Compact Cars
2015,Nissan,NISSAN,VERSA,1.6,4,27,36,30,Gasoline (Regular Unleaded Recommended),1750,1750,Compact Cars
2015,Toyota,SCION,tC,2.5,4,23,31,26,Gasoline (Regular Unleaded Recommended),2000,2000,Compact Cars
